Column A,Column B
<div>What best describes a pull-up or pull-down resistor?</div><div>BR</div> <div>A. A resistor in a keying circuit used to reduce key clicks</div><div>BR</div> <div>B. A resistor connected to the positive or negative supply used to establish a voltage when an input or output is an open circuit</div><div>BR</div> <div>C. A resistor that ensures that an oscillator frequency does not drift</div><div>BR</div> <div>D. A resistor connected to an op-amp output that prevents signals from exceeding the power supply voltage</div><div>BR</div>,"<div>What best describes a pull-up or pull-down resistor?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A resistor in a keying circuit used to reduce key clicks</font></div><div>BR</div> <div><font color=""#000000"">B. A resistor connected to the positive or negative supply used to establish a voltage when an input or output is an open circuit</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. A resistor that ensures that an oscillator frequency does not drift</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. A resistor connected to an op-amp output that prevents signals from exceeding the power supply voltage</font></div><div>BR</div>"
"<div>In Figure E6-3, which is the schematic symbol for a NAND gate?</div><div>BR</div> <div>A. 1</div><div>BR</div> <div>B. 2</div><div>BR</div> <div>C. 3</div><div>BR</div> <div>D. 4</div><div>BR</div>","<div>In Figure E6-3, which is the schematic symbol for a NAND gate?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 1</font></div><div>BR</div> <div><font color=""#000000"">B. 2</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 3</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 4</font></div><div>BR</div>"
<div>What is used to design the configuration of a field-programmable gate array (FPGA)?</div><div>BR</div> <div>A. Karnaugh maps</div><div>BR</div> <div>B. Hardware description language (HDL)</div><div>BR</div> <div>C. An auto-router</div><div>BR</div> <div>D. Machine and assembly language</div><div>BR</div>,"<div>What is used to design the configuration of a field-programmable gate array (FPGA)?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Karnaugh maps</font></div><div>BR</div> <div><font color=""#000000"">B. Hardware description language (HDL)</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. An auto-router</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Machine and assembly language</font></div><div>BR</div>"
"<div>In Figure E6-3, which is the schematic symbol for a NOR gate?</div><div>BR</div> <div>A. 1</div><div>BR</div> <div>B. 2</div><div>BR</div> <div>C. 3</div><div>BR</div> <div>D. 4</div><div>BR</div>","<div>In Figure E6-3, which is the schematic symbol for a NOR gate?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 1</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 2</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 3</font></div><div>BR</div> <div><font color=""#000000"">D. 4</font></div><div>BR</div>"
"<div>In Figure E6-3, which is the schematic symbol for the NOT operation (inversion)?</div><div>BR</div> <div>A. 2</div><div>BR</div> <div>B. 4</div><div>BR</div> <div>C. 5</div><div>BR</div> <div>D. 6</div><div>BR</div>","<div>In Figure E6-3, which is the schematic symbol for the NOT operation (inversion)?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 2</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 4</font></div><div>BR</div> <div><font color=""#000000"">C. 5</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 6</font></div><div>BR</div>"
<div>What is piezoelectricity?</div><div>BR</div> <div>A. The ability of materials to generate electromagnetic waves of a certain frequency when voltage is applied</div><div>BR</div> <div>B. A characteristic of materials that have an index of refraction which depends on the polarization of the electromagnetic wave passing through it</div><div>BR</div> <div>C. A characteristic of materials that generate a voltage when stressed and that flex when a voltage is applied</div><div>BR</div> <div>D. The ability of materials to generate voltage when an electromagnetic wave of a certain frequency is applied</div><div>BR</div>,"<div>What is piezoelectricity?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The ability of materials to generate electromagnetic waves of a certain frequency when voltage is applied</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. A characteristic of materials that have an index of refraction which depends on the polarization of the electromagnetic wave passing through it</font></div><div>BR</div> <div><font color=""#000000"">C. A characteristic of materials that generate a voltage when stressed and that flex when a voltage is applied</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The ability of materials to generate voltage when an electromagnetic wave of a certain frequency is applied</font></div><div>BR</div>"
"<div>What is the equivalent circuit of a quartz crystal?</div><div>BR</div> <div>A. Series RLC in parallel with a shunt C representing electrode and stray capacitance</div><div>BR</div> <div>B. Parallel RLC, where C is the parallel combination of resonance capacitance of the crystal and electrode and stray capacitance</div><div>BR</div> <div>C. Series RLC, where C is the parallel combination of resonance capacitance of the crystal and electrode and stray capacitance</div><div>BR</div> <div>D. Parallel RLC, where C is the series combination of resonance capacitance of the crystal and electrode and stray capacitance</div><div>BR</div>","<div>What is the equivalent circuit of a quartz crystal?</div><div>BR</div> <div><font color=""#000000"">A. Series RLC in parallel with a shunt C representing electrode and stray capacitance</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Parallel RLC, where C is the parallel combination of resonance capacitance of the crystal and electrode and stray capacitance</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Series RLC, where C is the parallel combination of resonance capacitance of the crystal and electrode and stray capacitance</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Parallel RLC, where C is the series combination of resonance capacitance of the crystal and electrode and stray capacitance</font></div><div>BR</div>"
<div>Which of the following is an aspect of the piezoelectric effect?</div><div>BR</div> <div>A. Mechanical deformation of material due to the application of a voltage</div><div>BR</div> <div>B. Mechanical deformation of material due to the application of a magnetic field</div><div>BR</div> <div>C. Generation of electrical energy in the presence of light</div><div>BR</div> <div>D. Increased conductivity in the presence of light</div><div>BR</div>,"<div>Which of the following is an aspect of the piezoelectric effect?</div><div>BR</div> <div><font color=""#000000"">A. Mechanical deformation of material due to the application of a voltage</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Mechanical deformation of material due to the application of a magnetic field</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Generation of electrical energy in the presence of light</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Increased conductivity in the presence of light</font></div><div>BR</div>"
<div>Why are cores of inductors and transformers sometimes constructed of thin layers?</div><div>BR</div> <div>A. To simplify assembly during manufacturing</div><div>BR</div> <div>B. To reduce power loss from eddy currents in the core</div><div>BR</div> <div>C. To increase the cutoff frequency by reducing capacitance</div><div>BR</div> <div>D. To save cost by reducing the amount of magnetic material</div><div>BR</div>,"<div>Why are cores of inductors and transformers sometimes constructed of thin layers?</div><div>BR</div> <div><font color=""#d5dbdb"">A. To simplify assembly during manufacturing</font></div><div>BR</div> <div><font color=""#000000"">B. To reduce power loss from eddy currents in the core</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. To increase the cutoff frequency by reducing capacitance</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. To save cost by reducing the amount of magnetic material</font></div><div>BR</div>"
<div>How do ferrite and powdered iron compare for use in an inductor core?</div><div>BR</div> <div>A. Ferrite cores generally have lower initial permeability</div><div>BR</div> <div>B. Ferrite cores generally have better temperature stability</div><div>BR</div> <div>C. Ferrite cores generally require fewer turns to produce a given inductance value</div><div>BR</div> <div>D. Ferrite cores are easier to use with surface-mount technology</div><div>BR</div>,"<div>How do ferrite and powdered iron compare for use in an inductor core?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Ferrite cores generally have lower initial permeability</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Ferrite cores generally have better temperature stability</font></div><div>BR</div> <div><font color=""#000000"">C. Ferrite cores generally require fewer turns to produce a given inductance value</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Ferrite cores are easier to use with surface-mount technology</font></div><div>BR</div>"
<div>What core material property determines the inductance of an inductor?</div><div>BR</div> <div>A. Permittivity</div><div>BR</div> <div>B. Resistance</div><div>BR</div> <div>C. Reactivity</div><div>BR</div> <div>D. Permeability</div><div>BR</div>,"<div>What core material property determines the inductance of an inductor?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Permittivity</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Resistance</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Reactivity</font></div><div>BR</div> <div><font color=""#000000"">D. Permeability</font></div><div>BR</div>"
<div>What is the current that flows in the primary winding of a transformer when there is no load on the secondary winding?</div><div>BR</div> <div>A. Stabilizing current</div><div>BR</div> <div>B. Direct current</div><div>BR</div> <div>C. Excitation current</div><div>BR</div> <div>D. Magnetizing current</div><div>BR</div>,"<div>What is the current that flows in the primary winding of a transformer when there is no load on the secondary winding?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Stabilizing current</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Direct current</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Excitation current</font></div><div>BR</div> <div><font color=""#000000"">D. Magnetizing current</font></div><div>BR</div>"
<div>Which of the following materials has the highest temperature stability of its magnetic characteristics?</div><div>BR</div> <div>A. Brass</div><div>BR</div> <div>B. Powdered iron</div><div>BR</div> <div>C. Ferrite</div><div>BR</div> <div>D. Aluminum</div><div>BR</div>,"<div>Which of the following materials has the highest temperature stability of its magnetic characteristics?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Brass</font></div><div>BR</div> <div><font color=""#000000"">B. Powdered iron</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Ferrite</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Aluminum</font></div><div>BR</div>"
<div>What devices are commonly used as VHF and UHF parasitic suppressors at the input and output terminals of a transistor HF amplifier?</div><div>BR</div> <div>A. Electrolytic capacitors</div><div>BR</div> <div>B. Butterworth filters</div><div>BR</div> <div>C. Ferrite beads</div><div>BR</div> <div>D. Steel-core toroids</div><div>BR</div>,"<div>What devices are commonly used as VHF and UHF parasitic suppressors at the input and output terminals of a transistor HF amplifier?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Electrolytic capacitors</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Butterworth filters</font></div><div>BR</div> <div><font color=""#000000"">C. Ferrite beads</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Steel-core toroids</font></div><div>BR</div>"
<div>What is a primary advantage of using a toroidal core instead of a solenoidal core in an inductor?</div><div>BR</div> <div>A. Toroidal cores confine most of the magnetic field within the core material</div><div>BR</div> <div>B. Toroidal cores make it easier to couple the magnetic energy into other components</div><div>BR</div> <div>C. Toroidal cores exhibit greater hysteresis</div><div>BR</div> <div>D. Toroidal cores have lower Q characteristics</div><div>BR</div>,"<div>What is a primary advantage of using a toroidal core instead of a solenoidal core in an inductor?</div><div>BR</div> <div><font color=""#000000"">A. Toroidal cores confine most of the magnetic field within the core material</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Toroidal cores make it easier to couple the magnetic energy into other components</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Toroidal cores exhibit greater hysteresis</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Toroidal cores have lower Q characteristics</font></div><div>BR</div>"
<div>Which type of core material decreases inductance when inserted into a coil?</div><div>BR</div> <div>A. Ceramic</div><div>BR</div> <div>B. Brass</div><div>BR</div> <div>C. Ferrite</div><div>BR</div> <div>D. Aluminum</div><div>BR</div>,"<div>Which type of core material decreases inductance when inserted into a coil?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Ceramic</font></div><div>BR</div> <div><font color=""#000000"">B. Brass</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Ferrite</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Aluminum</font></div><div>BR</div>"
<div>What causes inductor saturation?</div><div>BR</div> <div>A. Operation at too high a frequency</div><div>BR</div> <div>B. Selecting a core with low permeability</div><div>BR</div> <div>C. Operation at excessive magnetic flux</div><div>BR</div> <div>D. Selecting a core with excessive permittivity</div><div>BR</div>,"<div>What causes inductor saturation?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Operation at too high a frequency</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Selecting a core with low permeability</font></div><div>BR</div> <div><font color=""#000000"">C. Operation at excessive magnetic flux</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Selecting a core with excessive permittivity</font></div><div>BR</div>"
<div>Why is gallium arsenide (GaAs) useful for semiconductor devices operating at UHF and higher frequencies?</div><div>BR</div> <div>A. Higher noise figures</div><div>BR</div> <div>B. Higher electron mobility</div><div>BR</div> <div>C. Lower junction voltage drop</div><div>BR</div> <div>D. Lower transconductance</div><div>BR</div>,"<div>Why is gallium arsenide (GaAs) useful for semiconductor devices operating at UHF and higher frequencies?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Higher noise figures</font></div><div>BR</div> <div><font color=""#000000"">B. Higher electron mobility</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Lower junction voltage drop</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Lower transconductance</font></div><div>BR</div>"
<div>Which of the following device packages is a through-hole type?</div><div>BR</div> <div>A. DIP</div><div>BR</div> <div>B. PLCC</div><div>BR</div> <div>C. BGA</div><div>BR</div> <div>D. SOT</div><div>BR</div>,"<div>Which of the following device packages is a through-hole type?</div><div>BR</div> <div><font color=""#000000"">A. DIP</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. PLCC</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. BGA</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. SOT</font></div><div>BR</div>"
<div>Which of the following materials supports the highest frequency of operation when used in MMICs?</div><div>BR</div> <div>A. Silicon</div><div>BR</div> <div>B. Silicon nitride</div><div>BR</div> <div>C. Silicon dioxide</div><div>BR</div> <div>D. Gallium nitride</div><div>BR</div>,"<div>Which of the following materials supports the highest frequency of operation when used in MMICs?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Silicon</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Silicon nitride</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Silicon dioxide</font></div><div>BR</div> <div><font color=""#000000"">D. Gallium nitride</font></div><div>BR</div>"
<div>Which is the most common input and output impedance of MMICs?</div><div>BR</div> <div>A. 50 ohms</div><div>BR</div> <div>B. 300 ohms</div><div>BR</div> <div>C. 450 ohms</div><div>BR</div> <div>D. 75 ohms</div><div>BR</div>,"<div>Which is the most common input and output impedance of MMICs?</div><div>BR</div> <div><font color=""#000000"">A. 50 ohms</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 300 ohms</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 450 ohms</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 75 ohms</font></div><div>BR</div>"
<div>Which of the following noise figure values is typical of a low-noise UHF preamplifier?</div><div>BR</div> <div>A. 0.5 dB</div><div>BR</div> <div>B. -10 dB</div><div>BR</div> <div>C. 44 dBm</div><div>BR</div> <div>D. -20 dBm</div><div>BR</div>,"<div>Which of the following noise figure values is typical of a low-noise UHF preamplifier?</div><div>BR</div> <div><font color=""#000000"">A. 0.5 dB</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. -10 dB</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 44 dBm</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. -20 dBm</font></div><div>BR</div>"
"<div>What characteristics of MMICs make them a popular choice for VHF through microwave circuits?</div><div>BR</div> <div>A. The ability to retrieve information from a single signal, even in the presence of other strong signals</div><div>BR</div> <div>B. Extremely high Q factor and high stability over a wide temperature range</div><div>BR</div> <div>C. Nearly infinite gain, very high input impedance, and very low output impedance</div><div>BR</div> <div>D. Controlled gain, low noise figure, and constant input and output impedance over the specified frequency range</div><div>BR</div>","<div>What characteristics of MMICs make them a popular choice for VHF through microwave circuits?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The ability to retrieve information from a single signal, even in the presence of other strong signals</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Extremely high Q factor and high stability over a wide temperature range</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Nearly infinite gain, very high input impedance, and very low output impedance</font></div><div>BR</div> <div><font color=""#000000"">D. Controlled gain, low noise figure, and constant input and output impedance over the specified frequency range</font></div><div>BR</div>"
<div>What type of transmission line is often used for connections to MMICs?</div><div>BR</div> <div>A. Miniature coax</div><div>BR</div> <div>B. Circular waveguide</div><div>BR</div> <div>C. Parallel wire</div><div>BR</div> <div>D. Microstrip</div><div>BR</div>,"<div>What type of transmission line is often used for connections to MMICs?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Miniature coax</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Circular waveguide</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Parallel wire</font></div><div>BR</div> <div><font color=""#000000"">D. Microstrip</font></div><div>BR</div>"
<div>How is power supplied to the most common type of MMIC?</div><div>BR</div> <div>A. Through a capacitor and RF choke connected to the amplifier input lead</div><div>BR</div> <div>B. MMICs require no operating bias</div><div>BR</div> <div>C. Through a resistor and/or RF choke connected to the amplifier output lead</div><div>BR</div> <div>D. Directly to the bias voltage (Vcc) lead</div><div>BR</div>,"<div>How is power supplied to the most common type of MMIC?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Through a capacitor and RF choke connected to the amplifier input lead</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. MMICs require no operating bias</font></div><div>BR</div> <div><font color=""#000000"">C. Through a resistor and/or RF choke connected to the amplifier output lead</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Directly to the bias voltage (Vcc) lead</font></div><div>BR</div>"
<div>Which of the following component package types have the least parasitic effects at frequencies above the HF range?</div><div>BR</div> <div>A. TO-220</div><div>BR</div> <div>B. Axial lead</div><div>BR</div> <div>C. Radial lead</div><div>BR</div> <div>D. Surface mount</div><div>BR</div>,"<div>Which of the following component package types have the least parasitic effects at frequencies above the HF range?</div><div>BR</div> <div><font color=""#d5dbdb"">A. TO-220</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Axial lead</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Radial lead</font></div><div>BR</div> <div><font color=""#000000"">D. Surface mount</font></div><div>BR</div>"
<div>What advantage does surface-mount technology offer at RF compared to using through-hole components?</div><div>BR</div> <div>A. Smaller circuit area</div><div>BR</div> <div>B. Shorter circuit board traces</div><div>BR</div> <div>C. Components have less parasitic inductance and capacitance</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>What advantage does surface-mount technology offer at RF compared to using through-hole components?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Smaller circuit area</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Shorter circuit board traces</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Components have less parasitic inductance and capacitance</font></div><div>BR</div> <div><font color=""#000000"">D. All these choices are correct</font></div><div>BR</div>"
<div>What is a characteristic of DIP packaging used for integrated circuits?</div><div>BR</div> <div>A. Extremely low stray capacitance (dielectrically isolated package)</div><div>BR</div> <div>B. Extremely high resistance between pins (doubly insulated package)</div><div>BR</div> <div>C. Two chips in each package (dual in package)</div><div>BR</div> <div>D. Two rows of connecting pins on opposite sides of package (dual in-line package)</div><div>BR</div>,"<div>What is a characteristic of DIP packaging used for integrated circuits?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Extremely low stray capacitance (dielectrically isolated package)</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Extremely high resistance between pins (doubly insulated package)</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Two chips in each package (dual in package)</font></div><div>BR</div> <div><font color=""#000000"">D. Two rows of connecting pins on opposite sides of package (dual in-line package)</font></div><div>BR</div>"
<div>Why are DIP through-hole package ICs not typically used at UHF and higher frequencies?</div><div>BR</div> <div>A. Excessive dielectric loss</div><div>BR</div> <div>B. Epoxy coating is conductive above 300 MHz</div><div>BR</div> <div>C. Excessive lead length</div><div>BR</div> <div>D. Unsuitable for combining analog and digital signals</div><div>BR</div>,"<div>Why are DIP through-hole package ICs not typically used at UHF and higher frequencies?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Excessive dielectric loss</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Epoxy coating is conductive above 300 MHz</font></div><div>BR</div> <div><font color=""#000000"">C. Excessive lead length</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Unsuitable for combining analog and digital signals</font></div><div>BR</div>"
<div>What absorbs the energy from light falling on a photovoltaic cell?</div><div>BR</div> <div>A. Protons</div><div>BR</div> <div>B. Photons</div><div>BR</div> <div>C. Electrons</div><div>BR</div> <div>D. Holes</div><div>BR</div>,"<div>What absorbs the energy from light falling on a photovoltaic cell?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Protons</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Photons</font></div><div>BR</div> <div><font color=""#000000"">C. Electrons</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Holes</font></div><div>BR</div>"
<div>What happens to photoconductive material when light shines on it?</div><div>BR</div> <div>A. Resistance decreases</div><div>BR</div> <div>B. Resistance increases</div><div>BR</div> <div>C. Reflectivity increases</div><div>BR</div> <div>D. Reflectivity decreases</div><div>BR</div>,"<div>What happens to photoconductive material when light shines on it?</div><div>BR</div> <div><font color=""#000000"">A. Resistance decreases</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Resistance increases</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Reflectivity increases</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Reflectivity decreases</font></div><div>BR</div>"
<div>What is the most common configuration of an optoisolator or optocoupler?</div><div>BR</div> <div>A. A lens and a photomultiplier</div><div>BR</div> <div>B. A frequency-modulated helium-neon laser</div><div>BR</div> <div>C. An amplitude-modulated helium-neon laser</div><div>BR</div> <div>D. An LED and a phototransistor</div><div>BR</div>,"<div>What is the most common configuration of an optoisolator or optocoupler?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A lens and a photomultiplier</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. A frequency-modulated helium-neon laser</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. An amplitude-modulated helium-neon laser</font></div><div>BR</div> <div><font color=""#000000"">D. An LED and a phototransistor</font></div><div>BR</div>"
<div>What is the photovoltaic effect?</div><div>BR</div> <div>A. The conversion of voltage to current when exposed to light</div><div>BR</div> <div>B. The conversion of light to electrical energy</div><div>BR</div> <div>C. The effect that causes a photodiode to emit light when a voltage is applied</div><div>BR</div> <div>D. The effect that causes a phototransistor’s beta to decrease when exposed to light</div><div>BR</div>,"<div>What is the photovoltaic effect?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The conversion of voltage to current when exposed to light</font></div><div>BR</div> <div><font color=""#000000"">B. The conversion of light to electrical energy</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The effect that causes a photodiode to emit light when a voltage is applied</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The effect that causes a phototransistor’s beta to decrease when exposed to light</font></div><div>BR</div>"
<div>Which of the following describes an optical shaft encoder?</div><div>BR</div> <div>A. A device that detects rotation by interrupting a light source with a patterned wheel</div><div>BR</div> <div>B. A device that measures the strength of a beam of light using analog-to-digital conversion</div><div>BR</div> <div>C. An optical computing device in which light is coupled between devices by fiber optics</div><div>BR</div> <div>D. A device for generating RTTY signals by means of a rotating light source</div><div>BR</div>,"<div>Which of the following describes an optical shaft encoder?</div><div>BR</div> <div><font color=""#000000"">A. A device that detects rotation by interrupting a light source with a patterned wheel</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. A device that measures the strength of a beam of light using analog-to-digital conversion</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. An optical computing device in which light is coupled between devices by fiber optics</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. A device for generating RTTY signals by means of a rotating light source</font></div><div>BR</div>"
<div>Which of these materials is most commonly used to create photoconductive devices?</div><div>BR</div> <div>A. Polyphenol acetate</div><div>BR</div> <div>B. Argon</div><div>BR</div> <div>C. Crystalline semiconductor</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>Which of these materials is most commonly used to create photoconductive devices?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Polyphenol acetate</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Argon</font></div><div>BR</div> <div><font color=""#000000"">C. Crystalline semiconductor</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
<div>What is a solid-state relay?</div><div>BR</div> <div>A. A relay that uses transistors to drive the relay coil</div><div>BR</div> <div>B. A device that uses semiconductors to implement the functions of an electromechanical relay</div><div>BR</div> <div>C. A mechanical relay that latches in the on or off state each time it is pulsed</div><div>BR</div> <div>D. A semiconductor switch that uses a monostable multivibrator circuit</div><div>BR</div>,"<div>What is a solid-state relay?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A relay that uses transistors to drive the relay coil</font></div><div>BR</div> <div><font color=""#000000"">B. A device that uses semiconductors to implement the functions of an electromechanical relay</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. A mechanical relay that latches in the on or off state each time it is pulsed</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. A semiconductor switch that uses a monostable multivibrator circuit</font></div><div>BR</div>"
<div>Why are optoisolators often used in conjunction with solid-state circuits that control 120 VAC circuits?</div><div>BR</div> <div>A. Optoisolators provide a low-impedance link between a control circuit and a power circuit</div><div>BR</div> <div>B. Optoisolators provide impedance matching between the control circuit and power circuit</div><div>BR</div> <div>C. Optoisolators provide an electrical isolation between a control circuit and the circuit being switched</div><div>BR</div> <div>D. Optoisolators eliminate the effects of reflected light in the control circuit</div><div>BR</div>,"<div>Why are optoisolators often used in conjunction with solid-state circuits that control 120 VAC circuits?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Optoisolators provide a low-impedance link between a control circuit and a power circuit</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Optoisolators provide impedance matching between the control circuit and power circuit</font></div><div>BR</div> <div><font color=""#000000"">C. Optoisolators provide an electrical isolation between a control circuit and the circuit being switched</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Optoisolators eliminate the effects of reflected light in the control circuit</font></div><div>BR</div>"
<div>What is the efficiency of a photovoltaic cell?</div><div>BR</div> <div>A. The output RF power divided by the input DC power</div><div>BR</div> <div>B. The output in lumens divided by the input power in watts</div><div>BR</div> <div>C. The open-circuit voltage divided by the short-circuit current under full illumination</div><div>BR</div> <div>D. The relative fraction of light that is converted to current</div><div>BR</div>,"<div>What is the efficiency of a photovoltaic cell?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The output RF power divided by the input DC power</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The output in lumens divided by the input power in watts</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The open-circuit voltage divided by the short-circuit current under full illumination</font></div><div>BR</div> <div><font color=""#000000"">D. The relative fraction of light that is converted to current</font></div><div>BR</div>"
<div>What is the most common material used in power-generating photovoltaic cells?</div><div>BR</div> <div>A. Selenium</div><div>BR</div> <div>B. Silicon</div><div>BR</div> <div>C. Cadmium sulfide</div><div>BR</div> <div>D. Indium arsenide</div><div>BR</div>,"<div>What is the most common material used in power-generating photovoltaic cells?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Selenium</font></div><div>BR</div> <div><font color=""#000000"">B. Silicon</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Cadmium sulfide</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Indium arsenide</font></div><div>BR</div>"
